Train Number,Train Name,From Station,To Station
05711,NIR MFR SPECIAL,NAINPUR JN,MANDLA FORT
05712,CID NIR PASSENGER,MANDLA FORT,NAINPUR JN
05713,JBP G PASS SPL,JABALPUR,GONDIA JN
05714,G JBP PASS SPL,GONDIA JN,JABALPUR
05717,MLFC KIR PASS SPL,MALDA COURT,KATIHAR JN
05718,KIR MLFC PASS SPL,KATIHAR JN,MALDA COURT
05727,KIR RDP PASS SPL,KATIHAR JN,RADHIKAPUR
05728,RDP KIR PASS SPL,RADHIKAPUR,KATIHAR JN
05729,KIR RDP PASS SPL,KATIHAR JN,RADHIKAPUR
05730,RDP KIR PASS SPL,RADHIKAPUR,KATIHAR JN
05750,HDB NJP PASS SPL,HALDIBARI,NEW JALPAIGURI
05751,NJP HDB PASS SPL,NEW JALPAIGURI,HALDIBARI
05755,CHRM APR PASS SPL,CHIRMIRI,ANUPPUR JN
05756,APR CHRM PASS SPL,ANUPPUR JN,CHIRMIRI
05801,NBQ GHY PASS SPL,NEW BONGAIGAON,GUWAHATI
05802,GHY NBQ PASS SPL,GUWAHATI,NEW BONGAIGAON
05803,NBQ GHY PASS SPL,NEW BONGAIGAON,GUWAHATI
05804,GHY NBQ PASS SPL,GUWAHATI,NEW BONGAIGAON
05809,NBQ GHY PASS SPL,NEW BONGAIGAON,GUWAHATI
05810,GHY NBQ PASS SPL,GUWAHATI,NEW BONGAIGAON
05819,DKGN BHNG PASS SPL,DEKARGAON,BHALUKPONG
05820,DKGN BHNG PASS SPL,BHALUKPONG,DEKARGAON
05821,RNY DKGN PASS SPL,RANGIYA JN,DEKARGAON
05822,DKGN RNY PASS SPL,DEKARGAON,RANGIYA JN
05833,KOTA MDS PASS SPL,KOTA JN,MANDASOR
